parameter,value,raw_value,unit,raw_unit,source,status,conversion_factor,bounds
中间电池浓差极化系数,1.0,1,-,-,参数清单!C24,given,1.0,fixed/not fitted
质子交换膜厚度,1.2e-05,1.2e-05,m,m,参数清单!C25,given,1.0,fixed/not fitted
膜密度,2150.0,2150,kg/m^3,kg/m^3,参数清单!C26,given,1.0,fixed/not fitted
膜当量质量,1.0,1000,kg/mol,g/mol,参数清单!C27,given,0.001,fixed/not fitted
初始膜含水量,3.0,3,lambda,lambda,参数清单!C28,given,1.0,fixed/not fitted
CL 离聚物体积分数,0.3,0.3,-,-,参数清单!C29,given,1.0,fixed/not fitted
水蒸气物性,4.8e-3; 2000; 0.1,4.8e-3; 2000; 0.1,kg/m^3; J/(kg·K); W/(m·K),kg/m^3; J/(kg·K); W/(m·K),参数清单!C30,given,1.0,fixed/not fitted
水蒸气物性.density,0.0048,,kg/m^3,,参数清单!C30,SI_component_parsed_from_source,1.0,fixed/not fitted
水蒸气物性.specific_heat,2000.0,,J/(kg·K),,参数清单!C30,SI_component_parsed_from_source,1.0,fixed/not fitted
水蒸气物性.thermal_conductivity,0.1,,W/(m·K),,参数清单!C30,SI_component_parsed_from_source,1.0,fixed/not fitted
冰物性,920; 2050; 2.3,920; 2050; 2.3,kg/m^3; J/(kg·K); W/(m·K),kg/m^3; J/(kg·K); W/(m·K),参数清单!C31,given,1.0,fixed/not fitted
冰物性.density,920.0,,kg/m^3,,参数清单!C31,SI_component_parsed_from_source,1.0,fixed/not fitted
冰物性.specific_heat,2050.0,,J/(kg·K),,参数清单!C31,SI_component_parsed_from_source,1.0,fixed/not fitted
冰物性.thermal_conductivity,2.3,,W/(m·K),,参数清单!C31,SI_component_parsed_from_source,1.0,fixed/not fitted
液态水物性,990; 4182; 0.6,990; 4182; 0.6,kg/m^3; J/(kg·K); W/(m·K),kg/m^3; J/(kg·K); W/(m·K),参数清单!C32,given,1.0,fixed/not fitted
液态水物性.density,990.0,,kg/m^3,,参数清单!C32,SI_component_parsed_from_source,1.0,fixed/not fitted
液态水物性.specific_heat,4182.0,,J/(kg·K),,参数清单!C32,SI_component_parsed_from_source,1.0,fixed/not fitted
液态水物性.thermal_conductivity,0.6,,W/(m·K),,参数清单!C32,SI_component_parsed_from_source,1.0,fixed/not fitted
氢气物性,0.089; 14283; 0.1672,0.089; 14283; 0.1672,kg/m^3; J/(kg·K); W/(m·K),kg/m^3; J/(kg·K); W/(m·K),参数清单!C33,given,1.0,fixed/not fitted
氢气物性.density,0.089,,kg/m^3,,参数清单!C33,SI_component_parsed_from_source,1.0,fixed/not fitted
氢气物性.specific_heat,14283.0,,J/(kg·K),,参数清单!C33,SI_component_parsed_from_source,1.0,fixed/not fitted
氢气物性.thermal_conductivity,0.1672,,W/(m·K),,参数清单!C33,SI_component_parsed_from_source,1.0,fixed/not fitted
氧气物性,1.43; 919.31; 0.0246,1.43; 919.31; 0.0246,kg/m^3; J/(kg·K); W/(m·K),kg/m^3; J/(kg·K); W/(m·K),参数清单!C34,given,1.0,fixed/not fitted
氧气物性.density,1.43,,kg/m^3,,参数清单!C34,SI_component_parsed_from_source,1.0,fixed/not fitted
氧气物性.specific_heat,919.31,,J/(kg·K),,参数清单!C34,SI_component_parsed_from_source,1.0,fixed/not fitted
氧气物性.thermal_conductivity,0.0246,,W/(m·K),,参数清单!C34,SI_component_parsed_from_source,1.0,fixed/not fitted
氮气物性,1.35; 1041.5; 0.0235,1.35; 1041.5; 0.0235,kg/m^3; J/(kg·K); W/(m·K),kg/m^3; J/(kg·K); W/(m·K),参数清单!C35,given,1.0,fixed/not fitted
氮气物性.density,1.35,,kg/m^3,,参数清单!C35,SI_component_parsed_from_source,1.0,fixed/not fitted
氮气物性.specific_heat,1041.5,,J/(kg·K),,参数清单!C35,SI_component_parsed_from_source,1.0,fixed/not fitted
氮气物性.thermal_conductivity,0.0235,,W/(m·K),,参数清单!C35,SI_component_parsed_from_source,1.0,fixed/not fitted
离聚物物性,2150; 1050; 0.24,2150; 1050; 0.24,kg/m^3; J/(kg·K); W/(m·K),kg/m^3; J/(kg·K); W/(m·K),参数清单!C36,given,1.0,fixed/not fitted
离聚物物性.density,2150.0,,kg/m^3,,参数清单!C36,SI_component_parsed_from_source,1.0,fixed/not fitted
离聚物物性.specific_heat,1050.0,,J/(kg·K),,参数清单!C36,SI_component_parsed_from_source,1.0,fixed/not fitted
离聚物物性.thermal_conductivity,0.24,,W/(m·K),,参数清单!C36,SI_component_parsed_from_source,1.0,fixed/not fitted
双极板物性,1980; 766; 95; 83000,1980; 766; 95; 83000,kg/m^3; J/(kg·K); W/(m·K); S/m,kg/m^3; J/(kg·K); W/(m·K); S/m,参数清单!C37,given,1.0,fixed/not fitted
双极板物性.density,1980.0,,kg/m^3,,参数清单!C37,SI_component_parsed_from_source,1.0,fixed/not fitted
双极板物性.specific_heat,766.0,,J/(kg·K),,参数清单!C37,SI_component_parsed_from_source,1.0,fixed/not fitted
双极板物性.thermal_conductivity,95.0,,W/(m·K),,参数清单!C37,SI_component_parsed_from_source,1.0,fixed/not fitted
双极板物性.electric_conductivity,83000.0,,S/m,,参数清单!C37,SI_component_parsed_from_source,1.0,fixed/not fitted
GDL 物性,185; 545; 0.3; 375,185; 545; 0.3; 375,kg/m^3; J/(kg·K); W/(m·K); S/m,kg/m^3; J/(kg·K); W/(m·K); S/m,参数清单!C38,given,1.0,fixed/not fitted
GDL 物性.density,185.0,,kg/m^3,,参数清单!C38,SI_component_parsed_from_source,1.0,fixed/not fitted
GDL 物性.specific_heat,545.0,,J/(kg·K),,参数清单!C38,SI_component_parsed_from_source,1.0,fixed/not fitted
GDL 物性.thermal_conductivity,0.3,,W/(m·K),,参数清单!C38,SI_component_parsed_from_source,1.0,fixed/not fitted
GDL 物性.electric_conductivity,375.0,,S/m,,参数清单!C38,SI_component_parsed_from_source,1.0,fixed/not fitted
CL 物性,970; 240; 0.27,970; 240; 0.27,kg/m^3; J/(kg·K); W/(m·K),kg/m^3; J/(kg·K); W/(m·K),参数清单!C39,given,1.0,fixed/not fitted
CL 物性.density,970.0,,kg/m^3,,参数清单!C39,SI_component_parsed_from_source,1.0,fixed/not fitted
CL 物性.specific_heat,240.0,,J/(kg·K),,参数清单!C39,SI_component_parsed_from_source,1.0,fixed/not fitted
CL 物性.thermal_conductivity,0.27,,W/(m·K),,参数清单!C39,SI_component_parsed_from_source,1.0,fixed/not fitted
密度,7900.0,7900,kg/m^3,kg/m^3,参数清单!C40,given,1.0,fixed/not fitted
比热容,500.0,500 ,J/(kg·K),J/(kg·K),参数清单!C41,given,1.0,fixed/not fitted
导热系数,15.0,15,W/(m·K),W/(m·K),参数清单!C42,given,1.0,fixed/not fitted
端板与外界对流换热系数,40.0,40,W/(m^2·K),W/(m^2·K),参数清单!C43,given,1.0,fixed/not fitted
水凝结潜热,2500000.0,2500000,J/kg,J/kg,参数清单!C44,given,1.0,fixed/not fitted
水冻结潜热,333600.0,333600,J/kg,J/kg,参数清单!C45,given,1.0,fixed/not fitted
膜水-水蒸气转化系数,0.001; 1.0,0.001; 1.0,-,-,参数清单!C46,dimensionless_not_used_as_rate,1.0,fixed/not fitted
膜水-液态水转化系数,0.5,0.5,-,-,参数清单!C47,dimensionless_not_used_as_rate,1.0,fixed/not fitted
膜水-冰转化系数,1.0,1,-,-,参数清单!C48,dimensionless_not_used_as_rate,1.0,fixed/not fitted
水蒸气-液态水相变系数,1.0; 1.0,1.0; 1.0,-,-,参数清单!C49,dimensionless_not_used_as_rate,1.0,fixed/not fitted
水蒸气-冰相变系数,0.0001,0.0001,-,-,参数清单!C50,dimensionless_not_used_as_rate,1.0,fixed/not fitted
初始电堆温度,253.15,253.15,K,K,参数清单!C51,given,1.0,fixed/not fitted
环境温度,253.15,253.15,K,K,参数清单!C52,given,1.0,fixed/not fitted
阳极入口水蒸气质量分数,0.0,0,-,-,参数清单!C53,given,1.0,fixed/not fitted
阴极入口水蒸气质量分数,0.0,0,-,-,参数清单!C54,given,1.0,fixed/not fitted
初始液态水,0.0,0,-,-,参数清单!C55,given,1.0,fixed/not fitted
初始冰体积分数,0.0,0,-,-,参数清单!C56,given,1.0,fixed/not fitted
初始压力及操作压力,101325.0,101325,Pa,Pa,参数清单!C57,given,1.0,fixed/not fitted
阳极入口氢气质量分数,1.0,1,-,-,参数清单!C58,given,1.0,fixed/not fitted
阴极入口氧气质量分数,0.233,0.233,-,-,参数清单!C59,given,1.0,fixed/not fitted
阴极入口氮气质量分数,0.767,0.767,-,-,参数清单!C60,given,1.0,fixed/not fitted
残差收敛标准,1e-06,1e-06,-,-,参数清单!C61,given,1.0,fixed/not fitted
config.cells,1,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.fixture,H1,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.basis,B,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.mesh,"(3, 2, 3, 3, 3)",,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.board_n,2,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.end_n,4,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.shared_bp,False,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.water,W1,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.outlet,closed,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.thermal,phase,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.observation,MEA,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.j0,0.01,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.tau_b,1.0,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.tau_f,1.0,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.tau_m,1.0,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.mu_factor,1.0,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.ice_connectivity,3.0,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.h,40.0,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.contact_r,0.0,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.Rc,1e-06,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.lambda0,3.0,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.concentration,given,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.end_concentration_factor,1.0,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.half_cl,False,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.T0,253.15,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.ambient,253.15,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.rtol,1e-05,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.max_step,0.5,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.voltage_limit,0.3,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.charge_limit,20.0,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.current_limit,0.5,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.success_margin,0.01,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.horizon,300.0,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.sample,0.2,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.control_prediction_horizon,5.0,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
config.seed,20260923,,see Config and README,,implementation_registry,registered_choice,,fixed/not fitted
frozen.cells,1,,see Config and README,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.fixture,H1,,see Config and README,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.basis,B,,see Config and README,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.mesh,"[3, 2, 3, 3, 3]",,see Config and README,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.board_n,2,,see Config and README,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.end_n,4,,see Config and README,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.shared_bp,False,,see Config and README,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.water,W1,,see Config and README,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.outlet,closed,,see Config and README,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.thermal,phase,,see Config and README,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.observation,MEA,,see Config and README,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.j0,0.17232760934966707,,A/m^2,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,"[0.0001, 100] exploratory"
frozen.tau_b,1.5400857443520637,,s,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,"[0.05, 100] exploratory"
frozen.tau_f,33.307669427458045,,s at -20 C,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,"[0.05, 100] exploratory"
frozen.tau_m,1.0,,s at 5 C,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.mu_factor,1.0,,1,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.ice_connectivity,3.0,,1,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.h,40.0,,W/(m^2 K),,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.contact_r,0.0,,see Config and README,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.Rc,1e-06,,ohm m^2,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.lambda0,3.0,,1,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.concentration,given,,see Config and README,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.end_concentration_factor,1.0,,see Config and README,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.half_cl,False,,see Config and README,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.T0,253.15,,K,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.ambient,253.15,,K,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.rtol,1e-05,,see Config and README,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.max_step,0.5,,see Config and README,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.voltage_limit,0.3,,see Config and README,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.charge_limit,20.0,,see Config and README,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.current_limit,0.5,,see Config and README,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.success_margin,0.01,,see Config and README,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.horizon,300.0,,see Config and README,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.sample,0.2,,see Config and README,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.control_prediction_horizon,5.0,,see Config and README,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
frozen.seed,20260923,,see Config and README,,selected_model.json / B_H1_P3_train-20_-25,frozen_conditional_model,,fixed
