source_workbook,source_sheet,source_row,t,I,V,T,j,j_A,I_B
附件2.xlsx,-25℃,37,6.8,6.8,0.717,-24.94417356271572,0.022442244224422443,0.272,0.5610561056105611
附件2.xlsx,-25℃,38,7.0,9.3,0.698,-24.937733762415093,0.030693069306930696,0.37200000000000005,0.7673267326732675
附件2.xlsx,-25℃,39,7.2,11.0,0.682,-24.92929969214393,0.036303630363036306,0.44,0.9075907590759077
附件2.xlsx,-25℃,40,7.4,11.7,0.666,-24.919705504326544,0.03861386138613861,0.46799999999999997,0.9653465346534653
附件2.xlsx,-25℃,41,7.6,13.3,0.652,-24.908982315549736,0.043894389438943894,0.532,1.0973597359735974
附件2.xlsx,-25℃,42,7.8,14.9,0.64,-24.896636929588254,0.049174917491749175,0.596,1.2293729372937294
附件2.xlsx,-25℃,43,8.0,16.4,0.627,-24.882691534413823,0.05412541254125412,0.6559999999999999,1.353135313531353
附件2.xlsx,-25℃,44,8.2,18.2,0.616,-24.86700926364557,0.06006600660066006,0.728,1.5016501650165015
附件2.xlsx,-25℃,45,8.4,19.6,0.606,-24.849623367961243,0.0646864686468647,0.784,1.6171617161716174
附件2.xlsx,-25℃,46,8.6,21.4,0.595,-24.830517238907476,0.07062706270627062,0.856,1.7656765676567654
附件2.xlsx,-25℃,47,8.8,23.8,0.586,-24.809083042265087,0.07854785478547854,0.9520000000000001,1.9636963696369636
附件2.xlsx,-25℃,48,9.0,25.1,0.576,-24.78560115538272,0.08283828382838285,1.004,2.0709570957095713
附件2.xlsx,-25℃,49,9.2,26.7,0.567,-24.760557849606982,0.08811881188118811,1.068,2.2029702970297027
附件2.xlsx,-25℃,50,9.4,27.8,0.559,-24.734082700046457,0.09174917491749175,1.112,2.293729372937294
附件2.xlsx,-25℃,51,9.6,29.4,0.551,-24.70618374642231,0.09702970297029702,1.176,2.4257425742574257
附件2.xlsx,-25℃,52,9.8,30.9,0.544,-24.676618257056532,0.10198019801980197,1.236,2.5495049504950495
附件2.xlsx,-25℃,53,10.0,32.7,0.537,-24.645266879677138,0.10792079207920793,1.308,2.698019801980198
附件2.xlsx,-25℃,54,10.2,34.1,0.53,-24.61220124892796,0.11254125412541255,1.364,2.8135313531353137
附件2.xlsx,-25℃,55,10.4,35.9,0.525,-24.57742986140724,0.11848184818481848,1.436,2.962046204620462
附件2.xlsx,-25℃,56,10.6,37.4,0.519,-24.540898144457884,0.12343234323432342,1.496,3.0858085808580857
附件2.xlsx,-25℃,57,10.8,39.6,0.512,-24.50235605068204,0.1306930693069307,1.584,3.2673267326732676
附件2.xlsx,-25℃,58,11.0,40.5,0.51,-24.46220453496042,0.13366336633663367,1.62,3.341584158415842
附件2.xlsx,-25℃,59,11.2,41.9,0.506,-24.420975736585007,0.1382838283828383,1.676,3.4570957095709574
附件2.xlsx,-25℃,60,11.4,43.8,0.502,-24.378023532253277,0.14455445544554454,1.7519999999999998,3.6138613861386135
附件2.xlsx,-25℃,61,11.6,45.4,0.499,-24.33322688490878,0.14983498349834984,1.8159999999999998,3.745874587458746
附件2.xlsx,-25℃,62,11.8,47.1,0.496,-24.286726192652562,0.15544554455445544,1.8840000000000001,3.886138613861386
附件2.xlsx,-25℃,63,12.0,48.3,0.493,-24.238793124763728,0.1594059405940594,1.932,3.985148514851485
附件2.xlsx,-25℃,64,12.2,50.9,0.491,-24.18884372555021,0.167986798679868,2.036,4.1996699669967
附件2.xlsx,-25℃,65,12.4,52.2,0.489,-24.136822357348986,0.1722772277227723,2.088,4.306930693069307
附件2.xlsx,-25℃,66,12.6,53.9,0.487,-24.083334638990944,0.17788778877887787,2.156,4.4471947194719466
附件2.xlsx,-25℃,67,12.8,55.7,0.485,-24.028091352111485,0.18382838283828384,2.228,4.595709570957096
附件2.xlsx,-25℃,68,13.0,56.5,0.484,-23.97206515145214,0.18646864686468648,2.26,4.661716171617162
附件2.xlsx,-25℃,69,13.2,58.3,0.483,-23.915107823803393,0.1924092409240924,2.332,4.81023102310231
附件2.xlsx,-25℃,70,13.4,59.7,0.482,-23.856667866021947,0.19702970297029704,2.388,4.925742574257426
附件2.xlsx,-25℃,71,13.6,61.4,0.482,-23.796893085124363,0.20264026402640264,2.456,5.066006600660066
附件2.xlsx,-25℃,72,13.8,61.8,0.487,-23.73631643148942,0.20396039603960395,2.472,5.099009900990099
附件2.xlsx,-25℃,73,14.0,62.2,0.493,-23.675764553625974,0.20528052805280528,2.488,5.132013201320132
附件2.xlsx,-25℃,74,14.2,61.8,0.498,-23.61572340777317,0.20396039603960395,2.472,5.099009900990099
附件2.xlsx,-25℃,75,14.4,62.1,0.504,-23.556281726726432,0.20495049504950497,2.484,5.123762376237624
附件2.xlsx,-25℃,76,14.6,61.8,0.509,-23.49729072261521,0.20396039603960395,2.472,5.099009900990099
附件2.xlsx,-25℃,77,14.8,61.9,0.513,-23.438836456163635,0.2042904290429043,2.476,5.1072607260726075
附件2.xlsx,-25℃,78,15.0,62.1,0.518,-23.38058274915206,0.20495049504950497,2.484,5.123762376237624
附件2.xlsx,-25℃,79,15.2,61.7,0.522,-23.322819635001103,0.20363036303630364,2.468,5.090759075907591
附件2.xlsx,-25℃,80,15.4,61.8,0.526,-23.265589416555734,0.20396039603960395,2.472,5.099009900990099
附件2.xlsx,-25℃,81,15.6,62.0,0.53,-23.20850888645389,0.20462046204620463,2.48,5.115511551155116
附件2.xlsx,-25℃,82,15.8,61.9,0.534,-23.151690602514655,0.2042904290429043,2.476,5.1072607260726075
附件2.xlsx,-25℃,83,16.0,62.0,0.537,-23.095187632930894,0.20462046204620463,2.48,5.115511551155116
附件2.xlsx,-25℃,84,16.2,62.1,0.541,-23.038873830681062,0.20495049504950497,2.484,5.123762376237624
附件2.xlsx,-25℃,85,16.4,62.0,0.544,-22.98286846618742,0.20462046204620463,2.48,5.115511551155116
附件2.xlsx,-25℃,86,16.6,61.9,0.547,-22.92729165430827,0.2042904290429043,2.476,5.1072607260726075
附件2.xlsx,-25℃,87,16.8,62.2,0.551,-22.87190540335211,0.20528052805280528,2.488,5.132013201320132
附件2.xlsx,-25℃,88,17.0,61.9,0.553,-22.81683375588846,0.2042904290429043,2.476,5.1072607260726075
附件2.xlsx,-25℃,89,17.2,61.9,0.556,-22.76225949314371,0.2042904290429043,2.476,5.1072607260726075
附件2.xlsx,-25℃,90,17.4,61.9,0.559,-22.7080085728985,0.2042904290429043,2.476,5.1072607260726075
附件2.xlsx,-25℃,91,17.6,62.0,0.562,-22.654031005856346,0.20462046204620463,2.48,5.115511551155116
附件2.xlsx,-25℃,92,17.8,62.0,0.565,-22.60033293053433,0.20462046204620463,2.48,5.115511551155116
附件2.xlsx,-25℃,93,18.0,61.8,0.568,-22.54709490393045,0.20396039603960395,2.472,5.099009900990099
附件2.xlsx,-25℃,94,18.2,61.8,0.57,-22.494319256264866,0.20396039603960395,2.472,5.099009900990099
附件2.xlsx,-25℃,95,18.4,61.8,0.573,-22.44189059649994,0.20396039603960395,2.472,5.099009900990099
附件2.xlsx,-25℃,96,18.6,62.0,0.576,-22.38969288344855,0.20462046204620463,2.48,5.115511551155116
附件2.xlsx,-25℃,97,18.8,62.0,0.578,-22.33772431628201,0.20462046204620463,2.48,5.115511551155116
附件2.xlsx,-25℃,98,19.0,61.9,0.581,-22.28614879188662,0.2042904290429043,2.476,5.1072607260726075
附件2.xlsx,-25℃,99,19.2,62.0,0.583,-22.23489570715181,0.20462046204620463,2.48,5.115511551155116
附件2.xlsx,-25℃,100,19.4,62.0,0.585,-22.183894497065342,0.20462046204620463,2.48,5.115511551155116
附件2.xlsx,-25℃,101,19.6,62.1,0.588,-22.133131483182286,0.20495049504950497,2.484,5.123762376237624
附件2.xlsx,-25℃,102,19.8,62.0,0.59,-22.08265084366322,0.20462046204620463,2.48,5.115511551155116
附件2.xlsx,-25℃,103,20.0,61.9,0.592,-22.032555083259656,0.2042904290429043,2.476,5.1072607260726075
附件2.xlsx,-25℃,104,20.2,62.0,0.594,-21.98272118085227,0.20462046204620463,2.48,5.115511551155116
附件2.xlsx,-25℃,105,20.4,61.9,0.597,-21.933143394571392,0.2042904290429043,2.476,5.1072607260726075
附件2.xlsx,-25℃,106,20.6,62.0,0.599,-21.883818503603056,0.20462046204620463,2.48,5.115511551155116
附件2.xlsx,-25℃,107,20.8,62.1,0.601,-21.83463263290547,0.20495049504950497,2.484,5.123762376237624
附件2.xlsx,-25℃,108,21.0,61.8,0.603,-21.785811570033804,0.20396039603960395,2.472,5.099009900990099
附件2.xlsx,-25℃,109,21.2,62.0,0.605,-21.737299602768264,0.20462046204620463,2.48,5.115511551155116
附件2.xlsx,-25℃,110,21.4,61.9,0.607,-21.68898623797968,0.2042904290429043,2.476,5.1072607260726075
附件2.xlsx,-25℃,111,21.6,61.9,0.609,-21.64098507389527,0.2042904290429043,2.476,5.1072607260726075
附件2.xlsx,-25℃,112,21.8,62.0,0.611,-21.593186240135555,0.20462046204620463,2.48,5.115511551155116
附件2.xlsx,-25℃,113,22.0,61.9,0.612,-21.545646741446735,0.2042904290429043,2.476,5.1072607260726075
附件2.xlsx,-25℃,114,22.2,62.1,0.614,-21.498308932752384,0.20495049504950497,2.484,5.123762376237624
附件2.xlsx,-25℃,115,22.4,61.8,0.616,-21.451284187809865,0.20396039603960395,2.472,5.099009900990099
附件2.xlsx,-25℃,116,22.6,61.9,0.618,-21.404627680535885,0.2042904290429043,2.476,5.1072607260726075
附件2.xlsx,-25℃,117,22.8,61.8,0.62,-21.358229171658213,0.20396039603960395,2.472,5.099009900990099
附件2.xlsx,-25℃,118,23.0,61.9,0.621,-21.312088706372425,0.2042904290429043,2.476,5.1072607260726075
附件2.xlsx,-25℃,119,23.2,61.8,0.623,-21.266206060636467,0.20396039603960395,2.472,5.099009900990099
附件2.xlsx,-25℃,120,23.4,62.1,0.625,-21.22047182966283,0.20495049504950497,2.484,5.123762376237624
附件2.xlsx,-25℃,121,23.6,61.9,0.626,-21.17494042273778,0.2042904290429043,2.476,5.1072607260726075
附件2.xlsx,-25℃,122,23.8,61.7,0.628,-21.129882648592105,0.20363036303630364,2.468,5.090759075907591
附件2.xlsx,-25℃,123,24.0,62.1,0.629,-21.084971661439756,0.20495049504950497,2.484,5.123762376237624
附件2.xlsx,-25℃,124,24.2,62.8,0.628,-21.03972045804669,0.20726072607260726,2.512,5.181518151815181
附件2.xlsx,-25℃,125,24.4,64.2,0.625,-20.9935880236675,0.2118811881188119,2.568,5.297029702970297
附件2.xlsx,-25℃,126,24.6,65.7,0.622,-20.946137632283794,0.21683168316831683,2.628,5.420792079207921
附件2.xlsx,-25℃,127,24.8,67.5,0.62,-20.89714987229651,0.22277227722772278,2.7,5.569306930693069
附件2.xlsx,-25℃,128,25.0,70.0,0.618,-20.84607449451768,0.23102310231023102,2.8,5.775577557755775
附件2.xlsx,-25℃,129,25.2,71.4,0.615,-20.793127964504222,0.23564356435643566,2.8560000000000003,5.891089108910892
附件2.xlsx,-25℃,130,25.4,72.1,0.613,-20.739304365166774,0.23795379537953792,2.884,5.948844884488448
附件2.xlsx,-25℃,131,25.6,73.8,0.612,-20.68444133260952,0.24356435643564356,2.952,6.089108910891089
附件2.xlsx,-25℃,132,25.8,75.4,0.61,-20.628044964751677,0.24884488448844885,3.016,6.221122112211221
附件2.xlsx,-25℃,133,26.0,77.0,0.609,-20.570174815109123,0.25412541254125415,3.08,6.353135313531354
附件2.xlsx,-25℃,134,26.2,78.7,0.607,-20.51077977170034,0.2597359735973597,3.148,6.493399339933993
附件2.xlsx,-25℃,135,26.4,80.0,0.606,-20.450032031776924,0.264026402640264,3.2,6.6006600660066
附件2.xlsx,-25℃,136,26.6,82.0,0.605,-20.38777017795298,0.2706270627062706,3.28,6.765676567656766
附件2.xlsx,-25℃,137,26.8,84.2,0.604,-20.32349729324134,0.2778877887788779,3.3680000000000003,6.9471947194719466
附件2.xlsx,-25℃,138,27.0,86.0,0.603,-20.25733151630505,0.2838283828382838,3.44,7.095709570957095
附件2.xlsx,-25℃,139,27.2,87.4,0.602,-20.1897284342133,0.28844884488448846,3.4960000000000004,7.211221122112212
附件2.xlsx,-25℃,140,27.4,88.0,0.601,-20.12136771867504,0.29042904290429045,3.52,7.2607260726072615
附件2.xlsx,-25℃,141,27.6,89.8,0.6,-20.052033092838517,0.29636963696369634,3.592,7.409240924092408
附件2.xlsx,-25℃,142,27.8,91.5,0.599,-19.981118691238922,0.30198019801980197,3.66,7.5495049504950495
附件2.xlsx,-25℃,143,28.0,92.9,0.6,-19.90885815897312,0.3066006600660066,3.716,7.6650165016501655
附件2.xlsx,-25℃,144,28.2,92.9,0.602,-19.836208529025814,0.3066006600660066,3.716,7.6650165016501655
附件2.xlsx,-25℃,145,28.4,92.9,0.605,-19.763953378596828,0.3066006600660066,3.716,7.6650165016501655
附件2.xlsx,-25℃,146,28.6,92.7,0.607,-19.692204466298566,0.30594059405940593,3.708,7.648514851485149
附件2.xlsx,-25℃,147,28.8,92.8,0.609,-19.62090667810404,0.30627062706270625,3.7119999999999997,7.656765676567656
附件2.xlsx,-25℃,148,29.0,92.8,0.611,-19.549949608231007,0.30627062706270625,3.7119999999999997,7.656765676567656
附件2.xlsx,-25℃,149,29.2,92.8,0.613,-19.479387922099225,0.30627062706270625,3.7119999999999997,7.656765676567656
附件2.xlsx,-25℃,150,29.4,93.0,0.615,-19.40911016805217,0.3069306930693069,3.72,7.673267326732673
附件2.xlsx,-25℃,151,29.6,92.3,0.617,-19.339497843925674,0.30462046204620463,3.6919999999999997,7.615511551155116
附件2.xlsx,-25℃,152,29.8,93.0,0.619,-19.270273103489163,0.3069306930693069,3.72,7.673267326732673
附件2.xlsx,-25℃,153,30.0,92.7,0.621,-19.201219651155416,0.30594059405940593,3.708,7.648514851485149
附件2.xlsx,-25℃,154,30.2,92.9,0.622,-19.132607189561188,0.3066006600660066,3.716,7.6650165016501655
附件2.xlsx,-25℃,155,30.4,92.9,0.624,-19.064267970717342,0.3066006600660066,3.716,7.6650165016501655
附件2.xlsx,-25℃,156,30.6,92.7,0.625,-18.996414435413133,0.30594059405940593,3.708,7.648514851485149
附件2.xlsx,-25℃,157,30.8,92.7,0.627,-18.929041300230782,0.30594059405940593,3.708,7.648514851485149
附件2.xlsx,-25℃,158,31.0,92.7,0.628,-18.86203566992791,0.30594059405940593,3.708,7.648514851485149
附件2.xlsx,-25℃,159,31.2,92.9,0.629,-18.795285380041836,0.3066006600660066,3.716,7.6650165016501655
附件2.xlsx,-25℃,160,31.4,92.9,0.631,-18.728786131002895,0.3066006600660066,3.716,7.6650165016501655
附件2.xlsx,-25℃,161,31.6,93.0,0.632,-18.66258701541858,0.3069306930693069,3.72,7.673267326732673
附件2.xlsx,-25℃,162,31.8,92.8,0.633,-18.596789979181267,0.30627062706270625,3.7119999999999997,7.656765676567656
附件2.xlsx,-25℃,163,32.0,92.8,0.634,-18.531442937132315,0.30627062706270625,3.7119999999999997,7.656765676567656
附件2.xlsx,-25℃,164,32.2,92.7,0.635,-18.466487120727834,0.30594059405940593,3.708,7.648514851485149
附件2.xlsx,-25℃,165,32.3999999999999,92.9,0.636,-18.401811182168736,0.3066006600660066,3.716,7.6650165016501655
附件2.xlsx,-25℃,166,32.6,92.9,0.637,-18.337357406437352,0.3066006600660066,3.716,7.6650165016501655
附件2.xlsx,-25℃,167,32.7999999999999,92.8,0.638,-18.2732798935056,0.30627062706270625,3.7119999999999997,7.656765676567656
附件2.xlsx,-25℃,168,33.0,92.9,0.639,-18.209520281131212,0.3066006600660066,3.716,7.6650165016501655
附件2.xlsx,-25℃,169,33.1999999999999,92.7,0.64,-18.146126289553802,0.30594059405940593,3.708,7.648514851485149
附件2.xlsx,-25℃,170,33.3999999999999,92.9,0.641,-18.083040122247933,0.3066006600660066,3.716,7.6650165016501655
附件2.xlsx,-25℃,171,33.5999999999999,92.9,0.642,-18.02015190697905,0.3066006600660066,3.716,7.6650165016501655
附件2.xlsx,-25℃,172,33.7999999999999,93.1,0.642,-17.95745704138021,0.30726072607260724,3.7239999999999998,7.681518151815181
附件2.xlsx,-25℃,173,33.9999999999999,92.8,0.643,-17.89510792243253,0.30627062706270625,3.7119999999999997,7.656765676567656
附件2.xlsx,-25℃,174,34.1999999999999,93.0,0.643,-17.83309906829875,0.3069306930693069,3.72,7.673267326732673
附件2.xlsx,-25℃,175,34.3999999999999,92.8,0.644,-17.77137303378167,0.30627062706270625,3.7119999999999997,7.656765676567656
附件2.xlsx,-25℃,176,34.5999999999999,92.8,0.644,-17.710029196799226,0.30627062706270625,3.7119999999999997,7.656765676567656
附件2.xlsx,-25℃,177,34.7999999999999,92.8,0.644,-17.648957986773798,0.30627062706270625,3.7119999999999997,7.656765676567656
附件2.xlsx,-25℃,178,34.9999999999999,93.1,0.644,-17.587998536091806,0.30726072607260724,3.7239999999999998,7.681518151815181
附件2.xlsx,-25℃,179,35.1999999999999,93.1,0.644,-17.52714647537862,0.30726072607260724,3.7239999999999998,7.681518151815181
附件2.xlsx,-25℃,180,35.3999999999999,93.1,0.643,-17.466552824243042,0.30726072607260724,3.7239999999999998,7.681518151815181
附件2.xlsx,-25℃,181,35.5999999999999,92.8,0.643,-17.406367772321165,0.30627062706270625,3.7119999999999997,7.656765676567656
附件2.xlsx,-25℃,182,35.7999999999999,92.8,0.643,-17.346586022009284,0.30627062706270625,3.7119999999999997,7.656765676567656
附件2.xlsx,-25℃,183,35.9999999999999,92.7,0.642,-17.287098920354047,0.30594059405940593,3.708,7.648514851485149
附件2.xlsx,-25℃,184,36.1999999999999,92.9,0.642,-17.227798400239315,0.3066006600660066,3.716,7.6650165016501655
附件2.xlsx,-25℃,185,36.3999999999999,93.4,0.641,-17.168370249909113,0.3082508250825083,3.736,7.7062706270627075
附件2.xlsx,-25℃,186,36.5999999999999,92.5,0.641,-17.109377735356304,0.30528052805280526,3.7,7.632013201320131
