source_workbook,source_sheet,source_row,t,I,V,T,j,j_A,I_B
附件2.xlsx,-20℃,41,7.6,13.3,0.653,-19.909472025613894,0.04,0.532,1.0
附件2.xlsx,-20℃,42,7.8,14.9,0.64,-19.897330862705047,0.046,0.596,1.15
附件2.xlsx,-20℃,43,8.0,16.4,0.628,-19.88363509283107,0.05,0.6559999999999999,1.25
附件2.xlsx,-20℃,44,8.2,18.2,0.616,-19.868254150812646,0.056,0.728,1.4000000000000001
附件2.xlsx,-20℃,45,8.4,19.6,0.606,-19.851221578230565,0.061,0.784,1.525
附件2.xlsx,-20℃,46,8.6,21.4,0.595,-19.83252215544735,0.066,0.856,1.6500000000000001
附件2.xlsx,-20℃,47,8.8,23.8,0.586,-19.81157153000359,0.074,0.9520000000000001,1.8499999999999999
附件2.xlsx,-20℃,48,9.0,25.1,0.576,-19.7886399100623,0.078,1.004,1.95
附件2.xlsx,-20℃,49,9.2,26.7,0.568,-19.764193545311173,0.083,1.068,2.075
附件2.xlsx,-20℃,50,9.4,27.8,0.559,-19.738355627919475,0.09,1.112,2.25
附件2.xlsx,-20℃,51,9.6,29.4,0.551,-19.711132557521893,0.092,1.176,2.3
附件2.xlsx,-20℃,52,9.8,30.9,0.544,-19.682289826550175,0.097,1.236,2.4250000000000003
附件2.xlsx,-20℃,53,10.0,32.7,0.538,-19.651711527514692,0.102,1.308,2.55
附件2.xlsx,-20℃,54,10.2,34.1,0.531,-19.619464591518124,0.106,1.364,2.65
附件2.xlsx,-20℃,55,10.4,35.9,0.525,-19.58555566752341,0.113,1.436,2.825
附件2.xlsx,-20℃,56,10.6,37.4,0.52,-19.54993045199214,0.117,1.496,2.9250000000000003
附件2.xlsx,-20℃,57,10.8,39.6,0.513,-19.512346954953415,0.126,1.584,3.15
附件2.xlsx,-20℃,58,11.0,40.5,0.511,-19.473188116194308,0.131,1.62,3.2750000000000004
附件2.xlsx,-20℃,59,11.2,41.9,0.507,-19.432962161201402,0.134,1.676,3.35
附件2.xlsx,-20℃,60,11.4,43.8,0.504,-19.39104885190491,0.143,1.7519999999999998,3.5749999999999997
附件2.xlsx,-20℃,61,11.6,45.4,0.501,-19.34733006577775,0.144,1.8159999999999998,3.5999999999999996
附件2.xlsx,-20℃,62,11.8,47.1,0.498,-19.301939615369232,0.15,1.8840000000000001,3.75
附件2.xlsx,-20℃,63,12.0,48.3,0.495,-19.25513738408463,0.154,1.932,3.85
附件2.xlsx,-20℃,64,12.2,50.9,0.493,-19.206363781584567,0.162,2.036,4.05
附件2.xlsx,-20℃,65,12.4,52.2,0.49,-19.155564528274223,0.167,2.088,4.175
附件2.xlsx,-20℃,66,12.6,53.9,0.489,-19.103318246367817,0.172,2.156,4.3
附件2.xlsx,-20℃,67,12.8,55.7,0.487,-19.049313542595623,0.176,2.228,4.3999999999999995
附件2.xlsx,-20℃,68,13.0,56.5,0.486,-18.994126214383098,0.18,2.26,4.5
附件2.xlsx,-20℃,69,13.2,58.3,0.485,-18.937757407420886,0.185,2.332,4.625
附件2.xlsx,-20℃,70,13.4,59.7,0.485,-18.879828857804963,0.189,2.388,4.725
附件2.xlsx,-20℃,71,13.6,61.4,0.484,-18.82040590505613,0.195,2.456,4.875
附件2.xlsx,-20℃,72,13.8,61.8,0.489,-18.76018287478757,0.199,2.472,4.9750000000000005
附件2.xlsx,-20℃,73,14.0,62.2,0.496,-18.70032242179482,0.2,2.488,5.0
附件2.xlsx,-20℃,74,14.2,61.8,0.502,-18.64115015702762,0.201,2.472,5.025
附件2.xlsx,-20℃,75,14.4,62.1,0.507,-18.582533091790246,0.2,2.484,5.0
附件2.xlsx,-20℃,76,14.6,61.8,0.512,-18.524466778000225,0.199,2.472,4.9750000000000005
附件2.xlsx,-20℃,77,14.8,61.9,0.517,-18.466996189724306,0.199,2.476,4.9750000000000005
附件2.xlsx,-20℃,78,15.0,62.1,0.521,-18.409760826411052,0.2,2.484,5.0
附件2.xlsx,-20℃,79,15.2,61.7,0.526,-18.353037832523135,0.2,2.468,5.0
附件2.xlsx,-20℃,80,15.4,61.8,0.53,-18.296860798181505,0.199,2.472,4.9750000000000005
附件2.xlsx,-20℃,81,15.6,62.0,0.534,-18.240850076894837,0.199,2.48,4.9750000000000005
附件2.xlsx,-20℃,82,15.8,61.9,0.538,-18.185156048897987,0.2,2.476,5.0
附件2.xlsx,-20℃,83,16.0,62.0,0.54,-18.12978020882951,0.2,2.48,5.0
附件2.xlsx,-20℃,84,16.2,62.1,0.545,-18.074584041130002,0.201,2.484,5.025
附件2.xlsx,-20℃,85,16.4,62.0,0.549,-18.01967402859838,0.2,2.48,5.0
附件2.xlsx,-20℃,86,16.6,61.9,0.552,-17.965157503993815,0.199,2.476,4.9750000000000005
附件2.xlsx,-20℃,87,16.8,62.2,0.555,-17.910795478329696,0.2,2.488,5.0
附件2.xlsx,-20℃,88,17.0,61.9,0.558,-17.856700053450815,0.2,2.476,5.0
附件2.xlsx,-20℃,89,17.2,61.9,0.561,-17.803041430259576,0.2,2.476,5.0
附件2.xlsx,-20℃,90,17.4,61.9,0.564,-17.749645565636364,0.2,2.476,5.0
附件2.xlsx,-20℃,91,17.6,62.0,0.567,-17.696456467400644,0.2,2.48,5.0
附件2.xlsx,-20℃,92,17.8,62.0,0.57,-17.643477332028418,0.2,2.48,5.0
附件2.xlsx,-20℃,93,18.0,61.8,0.573,-17.59088354988372,0.199,2.472,4.9750000000000005
附件2.xlsx,-20℃,94,18.2,61.8,0.576,-17.538679352747998,0.199,2.472,4.9750000000000005
附件2.xlsx,-20℃,95,18.4,61.8,0.579,-17.48675627971982,0.199,2.472,4.9750000000000005
附件2.xlsx,-20℃,96,18.6,62.0,0.581,-17.43500715386101,0.2,2.48,5.0
附件2.xlsx,-20℃,97,18.8,62.0,0.584,-17.383438262067205,0.199,2.48,4.9750000000000005
附件2.xlsx,-20℃,98,19.0,61.9,0.587,-17.332224215564384,0.2,2.476,5.0
附件2.xlsx,-20℃,99,19.2,62.0,0.589,-17.2813135531451,0.2,2.48,5.0
附件2.xlsx,-20℃,100,19.4,62.0,0.591,-17.230658994674275,0.2,2.48,5.0
附件2.xlsx,-20℃,101,19.6,62.1,0.594,-17.180265309287524,0.2,2.484,5.0
附件2.xlsx,-20℃,102,19.8,62.0,0.596,-17.130190881011846,0.2,2.48,5.0
附件2.xlsx,-20℃,103,20.0,61.9,0.599,-17.080544352814105,0.199,2.476,4.9750000000000005
附件2.xlsx,-20℃,104,20.2,62.0,0.601,-17.031206895426568,0.2,2.48,5.0
附件2.xlsx,-20℃,105,20.4,61.9,0.603,-16.982170677526245,0.2,2.476,5.0
附件2.xlsx,-20℃,106,20.6,62.0,0.605,-16.93342436954048,0.2,2.48,5.0
附件2.xlsx,-20℃,107,20.8,62.1,0.607,-16.884844169868916,0.2,2.484,5.0
附件2.xlsx,-20℃,108,21.0,61.8,0.609,-16.83663537064699,0.199,2.472,4.9750000000000005
附件2.xlsx,-20℃,109,21.2,62.0,0.611,-16.78872898814699,0.2,2.48,5.0
附件2.xlsx,-20℃,110,21.4,61.9,0.614,-16.74100463594799,0.2,2.476,5.0
附件2.xlsx,-20℃,111,21.6,61.9,0.616,-16.693563836618456,0.2,2.476,5.0
附件2.xlsx,-20℃,112,21.8,62.0,0.618,-16.646293127546517,0.199,2.48,4.9750000000000005
附件2.xlsx,-20℃,113,22.0,61.9,0.619,-16.599245210432105,0.2,2.476,5.0
附件2.xlsx,-20℃,114,22.2,62.1,0.621,-16.552366157575694,0.2,2.484,5.0
附件2.xlsx,-20℃,115,22.4,61.8,0.623,-16.505765703284215,0.2,2.472,5.0
附件2.xlsx,-20℃,116,22.6,61.9,0.625,-16.45949953849804,0.199,2.476,4.9750000000000005
附件2.xlsx,-20℃,117,22.8,61.8,0.627,-16.41346219785355,0.199,2.472,4.9750000000000005
附件2.xlsx,-20℃,118,23.0,61.9,0.629,-16.367654134387227,0.201,2.476,5.025
附件2.xlsx,-20℃,119,23.2,61.8,0.63,-16.32207591054537,0.199,2.472,4.9750000000000005
附件2.xlsx,-20℃,120,23.4,62.1,0.632,-16.276622676850867,0.2,2.484,5.0
附件2.xlsx,-20℃,121,23.6,61.9,0.634,-16.231349734060803,0.2,2.476,5.0
附件2.xlsx,-20℃,122,23.8,61.7,0.635,-16.18652416312533,0.199,2.468,4.9750000000000005
附件2.xlsx,-20℃,123,24.0,62.1,0.637,-16.141827766621123,0.2,2.484,5.0
附件2.xlsx,-20℃,124,24.2,62.8,0.636,-16.096785231144555,0.199,2.512,4.9750000000000005
附件2.xlsx,-20℃,125,24.4,64.2,0.633,-16.05086823268293,0.205,2.568,5.125
附件2.xlsx,-20℃,126,24.6,65.7,0.63,-16.003652599771996,0.21,2.628,5.25
附件2.xlsx,-20℃,127,24.8,67.5,0.628,-15.954924907592996,0.215,2.7,5.375
附件2.xlsx,-20℃,128,25.0,70.0,0.626,-15.904148505481075,0.223,2.8,5.575
附件2.xlsx,-20℃,129,25.2,71.4,0.624,-15.851536353449985,0.228,2.8560000000000003,5.7
附件2.xlsx,-20℃,130,25.4,72.1,0.622,-15.798059647031648,0.233,2.884,5.825
附件2.xlsx,-20℃,131,25.6,73.8,0.621,-15.743558757743738,0.235,2.952,5.875
附件2.xlsx,-20℃,132,25.8,75.4,0.619,-15.687552574803401,0.241,3.016,6.0249999999999995
附件2.xlsx,-20℃,133,26.0,77.0,0.618,-15.630099978453512,0.245,3.08,6.125
附件2.xlsx,-20℃,134,26.2,78.7,0.617,-15.57115187687803,0.251,3.148,6.275
附件2.xlsx,-20℃,135,26.4,80.0,0.616,-15.510876700355976,0.256,3.2,6.4
附件2.xlsx,-20℃,136,26.6,82.0,0.614,-15.449117862326355,0.262,3.28,6.550000000000001
附件2.xlsx,-20℃,137,26.8,84.2,0.614,-15.385393061506967,0.267,3.3680000000000003,6.675000000000001
附件2.xlsx,-20℃,138,27.0,86.0,0.613,-15.319818389165029,0.275,3.44,6.875000000000001
附件2.xlsx,-20℃,139,27.2,87.4,0.612,-15.252837320910864,0.279,3.4960000000000004,6.9750000000000005
附件2.xlsx,-20℃,140,27.4,88.0,0.611,-15.18511126829302,0.284,3.52,7.1
附件2.xlsx,-20℃,141,27.6,89.8,0.611,-15.116429731463176,0.287,3.592,7.175
附件2.xlsx,-20℃,142,27.8,91.5,0.61,-15.046204802621478,0.292,3.66,7.3
附件2.xlsx,-20℃,143,28.0,92.9,0.611,-14.97466420609388,0.297,3.716,7.425
附件2.xlsx,-20℃,144,28.2,92.9,0.613,-14.902736956889303,0.3,3.716,7.5
附件2.xlsx,-20℃,145,28.4,92.9,0.616,-14.831182629642033,0.3,3.716,7.5
附件2.xlsx,-20℃,146,28.6,92.7,0.618,-14.76010950092618,0.299,3.708,7.475
附件2.xlsx,-20℃,147,28.8,92.8,0.621,-14.689464688744895,0.3,3.7119999999999997,7.5
附件2.xlsx,-20℃,148,29.0,92.8,0.623,-14.61914131348485,0.299,3.7119999999999997,7.475
附件2.xlsx,-20℃,149,29.2,92.8,0.625,-14.549193118638161,0.299,3.7119999999999997,7.475
附件2.xlsx,-20℃,150,29.4,93.0,0.627,-14.479511905252682,0.3,3.72,7.5
附件2.xlsx,-20℃,151,29.6,92.3,0.629,-14.410468611294139,0.299,3.6919999999999997,7.475
附件2.xlsx,-20℃,152,29.8,93.0,0.631,-14.341793280675834,0.299,3.72,7.475
附件2.xlsx,-20℃,153,30.0,92.7,0.633,-14.273270601666557,0.299,3.708,7.475
附件2.xlsx,-20℃,154,30.2,92.9,0.634,-14.20516192992486,0.299,3.716,7.475
附件2.xlsx,-20℃,155,30.4,92.9,0.636,-14.137304368696025,0.299,3.716,7.475
附件2.xlsx,-20℃,156,30.6,92.7,0.638,-14.069904996594774,0.299,3.708,7.475
附件2.xlsx,-20℃,157,30.8,92.7,0.64,-14.002958801626706,0.299,3.708,7.475
附件2.xlsx,-20℃,158,31.0,92.7,0.641,-13.936355882656672,0.299,3.708,7.475
附件2.xlsx,-20℃,159,31.2,92.9,0.643,-13.869986936641256,0.299,3.716,7.475
附件2.xlsx,-20℃,160,31.4,92.9,0.644,-13.803847692803263,0.3,3.716,7.5
附件2.xlsx,-20℃,161,31.6,93.0,0.646,-13.737985882812639,0.299,3.72,7.475
附件2.xlsx,-20℃,162,31.8,92.8,0.647,-13.672500994698142,0.3,3.7119999999999997,7.5
附件2.xlsx,-20℃,163,32.0,92.8,0.648,-13.607439912828882,0.299,3.7119999999999997,7.475
附件2.xlsx,-20℃,164,32.2,92.7,0.65,-13.542745467857715,0.3,3.708,7.5
附件2.xlsx,-20℃,165,32.4,92.9,0.651,-13.478309010214762,0.299,3.716,7.475
附件2.xlsx,-20℃,166,32.6,92.9,0.652,-13.414074198952765,0.3,3.716,7.5
附件2.xlsx,-20℃,167,32.8,92.8,0.654,-13.350191597741377,0.3,3.7119999999999997,7.5
附件2.xlsx,-20℃,168,33.0,92.9,0.655,-13.286604283379097,0.3,3.716,7.5
附件2.xlsx,-20℃,169,33.2,92.7,0.656,-13.223358896415368,0.3,3.708,7.5
附件2.xlsx,-20℃,170,33.4,92.9,0.657,-13.160398896964447,0.3,3.716,7.5
附件2.xlsx,-20℃,171,33.6,92.9,0.658,-13.09761663364973,0.299,3.716,7.475
附件2.xlsx,-20℃,172,33.8,93.1,0.66,-13.03500761138103,0.3,3.7239999999999998,7.5
附件2.xlsx,-20℃,173,34.0,92.8,0.661,-12.972721003892428,0.299,3.7119999999999997,7.475
附件2.xlsx,-20℃,174,34.2,93.0,0.662,-12.910751617472538,0.3,3.72,7.5
附件2.xlsx,-20℃,175,34.4,92.8,0.663,-12.849043339980467,0.3,3.7119999999999997,7.5
附件2.xlsx,-20℃,176,34.6,92.8,0.664,-12.787693656628376,0.3,3.7119999999999997,7.5
附件2.xlsx,-20℃,177,34.8,92.8,0.665,-12.726595365230013,0.299,3.7119999999999997,7.475
附件2.xlsx,-20℃,178,35.0,93.1,0.666,-12.665590843111476,0.3,3.7239999999999998,7.5
附件2.xlsx,-20℃,179,35.2,93.1,0.667,-12.604675753156117,0.3,3.7239999999999998,7.5
附件2.xlsx,-20℃,180,35.4,93.1,0.668,-12.543998198045347,0.3,3.7239999999999998,7.5
附件2.xlsx,-20℃,181,35.6,92.8,0.669,-12.483705650468199,0.299,3.7119999999999997,7.475
附件2.xlsx,-20℃,182,35.8,92.8,0.67,-12.423792961019492,0.3,3.7119999999999997,7.5
附件2.xlsx,-20℃,183,36.0,92.7,0.671,-12.36415403224702,0.3,3.708,7.5
附件2.xlsx,-20℃,184,36.2,92.9,0.672,-12.304686179801754,0.3,3.716,7.5
附件2.xlsx,-20℃,185,36.4,93.4,0.672,-12.2450807237933,0.3,3.736,7.5
附件2.xlsx,-20℃,186,36.6,92.5,0.673,-12.185891036579108,0.299,3.7,7.475
