source_workbook,source_cell,category,name,raw_value,unit,note
附件1.xlsx,参数清单!C36,热物性参数,离聚物物性,2150; 1050; 0.24,kg/m^3; J/(kg·K); W/(m·K),离聚物密度、比热容、导热系数
附件1.xlsx,参数清单!C37,热物性参数,双极板物性,1980; 766; 95; 83000,kg/m^3; J/(kg·K); W/(m·K); S/m,BP 密度、比热、导热系数和电导率
附件1.xlsx,参数清单!C38,热物性参数,GDL 物性,185; 545; 0.3; 375,kg/m^3; J/(kg·K); W/(m·K); S/m,GDL 密度、比热、导热系数和电导率
附件1.xlsx,参数清单!C39,热物性参数,CL 物性,970; 240; 0.27,kg/m^3; J/(kg·K); W/(m·K),CL 密度、比热和导热系数
附件1.xlsx,参数清单!C40,端板热物性,密度,7900,kg/m^3,
附件1.xlsx,参数清单!C41,端板热物性,比热容,500 ,J/(kg·K),
附件1.xlsx,参数清单!C42,端板热物性,导热系数,15,W/(m·K),
附件1.xlsx,参数清单!C43,热物性参数,端板与外界对流换热系数,40,W/(m^2·K),首尾端板与环境换热边界条件
附件1.xlsx,参数清单!C44,热物性参数,水凝结潜热,2500000,J/kg,水蒸气凝结/蒸发热源项
附件1.xlsx,参数清单!C45,热物性参数,水冻结潜热,333600,J/kg,液态水冻结/冰融化热源项
附件1.xlsx,参数清单!C46,水传输参数,膜水-水蒸气转化系数,0.001; 1.0,-,膜水和气相水之间转化
附件1.xlsx,参数清单!C47,水传输参数,膜水-液态水转化系数,0.5,-,膜水和液态水之间转化
附件1.xlsx,参数清单!C48,水传输参数,膜水-冰转化系数,1,-,膜水冻结/融化相关系数
附件1.xlsx,参数清单!C49,水传输参数,水蒸气-液态水相变系数,1.0; 1.0,-,冷凝和蒸发源项系数
附件1.xlsx,参数清单!C50,水传输参数,水蒸气-冰相变系数,0.0001,-,低温下水蒸气直接成冰源项系数
附件1.xlsx,参数清单!C51,运行参数,初始电堆温度,253.15,K,冷启动初始温度
附件1.xlsx,参数清单!C52,运行参数,环境温度,253.15,K,端板对流换热环境温度
附件1.xlsx,参数清单!C53,运行参数,阳极入口水蒸气质量分数,0,-,入口干氢气，默认无水蒸气
附件1.xlsx,参数清单!C54,运行参数,阴极入口水蒸气质量分数,0,-,入口干空气，默认无水蒸气
附件1.xlsx,参数清单!C55,运行参数,初始液态水,0,-,启动前已经过吹扫
附件1.xlsx,参数清单!C56,运行参数,初始冰体积分数,0,-,启动前已经过吹扫
附件1.xlsx,参数清单!C57,运行参数,初始压力及操作压力,101325,Pa,电化学和气相源项中使用的压力
附件1.xlsx,参数清单!C58,运行参数,阳极入口氢气质量分数,1,-,阳极入口纯氢
附件1.xlsx,参数清单!C59,运行参数,阴极入口氧气质量分数,0.233,-,阴极入口干空气氧气组分
附件1.xlsx,参数清单!C60,运行参数,阴极入口氮气质量分数,0.767,-,阴极入口干空气氮气组分
附件1.xlsx,参数清单!C61,运行参数,残差收敛标准,1e-06,-,控制方程最大残差收敛阈值
